Date,S&P_500,NASDAQ,Dow_Jones
12/24/1987,252.03,333.2,1999.67
12/31/1987,247.08,330.5,1938.83
1/8/1988,243.4,338.5,1911.31
1/15/1988,252.05,340.1,1956.07
1/22/1988,246.5,337.6,1903.51
1/29/1988,257.07,344.7,1958.22
2/5/1988,250.96,345.8,1910.48
2/12/1988,257.63,353.3,1983.26
2/19/1988,261.61,357.1,2014.59
2/26/1988,262.46,363.4,2023.21
3/4/1988,267.3,373.4,2057.86
3/11/1988,264.94,375.5,2034.98
3/18/1988,271.12,381.6,2087.37
3/25/1988,258.51,372.5,1978.95
3/31/1988,258.89,374.6,1988.06
4/8/1988,269.43,381.8,2090.19
4/15/1988,259.77,373.9,2013.93
4/22/1988,260.14,374,2015.09
4/29/1988,261.33,379.2,2032.33
5/6/1988,257.48,379.4,2007.46
5/13/1988,256.78,372.5,1990.55
5/20/1988,253.02,366,1952.59
5/27/1988,253.42,366.7,1956.44
6/3/1988,266.45,376.9,2071.31
6/10/1988,271.26,386.3,2101.71
6/17/1988,270.68,386.9,2104.02
6/24/1988,273.78,391.6,2142.96
7/1/1988,271.78,394.7,2131.58
7/8/1988,270.02,394.3,2106.15
7/15/1988,272.05,395,2129.45
7/22/1988,263.5,387.4,2060.99
7/29/1988,272.02,387.3,2128.73
8/5/1988,271.15,387.7,2119.13
8/12/1988,262.55,379,2037.52
8/19/1988,260.24,377.4,2016
8/26/1988,259.68,374.4,2017.43
9/2/1988,264.48,376.5,2054.59
9/9/1988,266.84,381.6,2068.81
9/16/1988,270.65,383.9,2098.15
9/23/1988,269.76,385,2090.68
9/30/1988,271.91,387.7,2112.91
10/7/1988,278.07,385.7,2150.25
10/14/1988,275.5,384.6,2133.18
10/21/1988,283.66,388.6,2183.5
10/28/1988,278.53,382.8,2149.89
11/4/1988,276.31,381,2145.8
11/11/1988,267.92,373.8,2067.03
11/18/1988,266.47,367.6,2062.41
11/25/1988,267.23,366.4,2074.68
12/2/1988,271.81,373.9,2092.28
12/9/1988,277.03,375.2,2143.49
12/16/1988,276.29,375.8,2150.71
12/23/1988,277.87,377.3,2168.93
12/30/1988,277.72,381.4,2168.57
1/6/1989,280.67,384.7,2194.29
1/13/1989,283.87,387.1,2226.07
1/20/1989,286.63,391.7,2235.36
1/27/1989,293.82,398,2322.86
2/3/1989,296.97,406.4,2331.25
2/10/1989,292.02,402.4,2286.07
2/17/1989,296.76,407.2,2324.82
2/24/1989,287.13,400,2245.54
3/3/1989,291.18,404,2274.29
3/10/1989,292.88,405.9,2282.14
3/17/1989,292.69,402.2,2292.14
3/23/1989,288.98,400.9,2243.04
3/31/1989,294.87,406.7,2293.62
4/7/1989,297.16,410.7,2304.8
4/14/1989,301.36,417.7,2337.06
